ID,Feature / journey,Surface,Ownership,Preconditions,Input path,Expected behavior / covered states,Test ID,Result,Evidence,Limitations
M01,"Agent landing, new task, model/priority selectors",Browser,Implemented by NexusIDE,Fresh fixture,Mouse; keyboard,Landing and task submission; loading; completion; error,workspace / provider tests,Passed,after-agent.png; qa-browser-full.log,
M02,IDE/Agent layout and persistent draft/buffers,Browser,Implemented by NexusIDE,Dirty files and task draft,Toggle by mouse/keyboard,"Editor-centric IDE; task-centric Agent; drafts, tabs and buffers survive",E01 / Q08,Passed,after-ide.png; after-agent.png,
M03,Existing run mode/config and IDE execution policy,Shared,Implemented by NexusIDE,Persisted run,Toggle mode; change future settings,Existing snapshot unchanged; IDE cannot execute tests/browser/commit,Q08 / E01,Passed,qa-checked.log,All future changes still need review; no inference-quality claim
M04,Explorer/filter/exact-path quick-open,Browser,Implemented by NexusIDE,Indexed files,Click; Cmd/Ctrl+P; enter path,Open/filter; empty; missing path; loading and errors,E01 / E04 / E08,Passed,qa-poll-regression.log,"Explorer is a path list with folders, not a collapsible tree"
M05,Workspace literal content search,Browser/shared,Implemented by NexusIDE,Text workspace,Search checkbox and input,Results with line/path; empty; bounded result/index notice,E10 / workspace unit tests / performance,Passed,qa-browser-stable.log; performance.json,Literal search UI result opens the correct document; every keyboard-only search combination is not asserted
M06,File creation and nested Unicode paths,Browser,Implemented by NexusIDE,Writable workspace,New file dialog,Created/opened on disk; duplicate/unsafe paths rejected,E03 / Q04 / C01,Passed,qa-poll-regression.log,
M07,Folder creation,Browser/shared,Implemented by NexusIDE,Writable workspace,New folder dialog; API regression,Create nested folder; duplicate/error state,E10 / Q04,Passed,qa-browser-stable.log,Nested folder verified on disk
M08,File/folder rename,Browser/shared,Implemented by NexusIDE,Saved document; revision preview,Rename dialog,No overwrite; preserve open document; reject dirty/stale path,E03 / Q04,Passed,qa-poll-regression.log,Case-only rename on case-insensitive volumes is not supported
M09,Deletion and recovery trash,Browser/shared,Implemented by NexusIDE,Saved path,Delete confirmation; Undo delete,Recoverable move; exact revision; no overwrite on restore,E03 / Q04,Passed,qa-poll-regression.log,Trash has no cleanup browser; remove old .nexus/trash items with host tools
M10,Binary/encoding/size errors,Browser/shared,Implemented by NexusIDE,Binary/invalid UTF-8/510–512 KB/over-limit,Open files,Clear unsupported error; editor remains usable; byte limit retained,E08 / Q05,Passed,qa-editor-language.log; qa-poll-regression.log,
